ad_agency_id,agency_name,agency_type,agency_phone,agency_email,agency_contact_first_name,agency_contact_last_name,,,,,,,,,,
1,Silver Screen Ads,Cinema,9149715252,SilverScreenAds@ssa.com,Zaria,Ricioppo,,,,,,,,,,
2,Magazine People,Magazine,3456193116,Magazine-People@magspeeps.com,Kiley,Cochern,,,,,,,,,,
3,Best Ad,Television,1052177610,Best_Ad@BA.com,Aigneis,McAvin,,,,,,,,,,
4,Hollaback Girl Ad,Radio,3896176871,inquiries@hba.com,Krissie,Da Costa,,,,,,,,,,
5,Ad-bi Wan Kenobi,Newspaper,3151299121,ads@awk.com,Jilli,McCrackem,,,,,,,,,,
6,Not Your Average Ad Agency,Leaflet,8125910464,NotYourAverageAdAgency@nyaaa.com,Fidole,Tatterton,,,,,,,,,,
7,Made You Look,poster,1349030651,lookatme@MadeYouLook.com,Ariadne,Weymont,,,,,,,,,,
8,Ad Man,web,1688427986,Ad.Man@adman.com,Marsiella,Breagan,,,,,,,,,,
9,Holywood Ads,Cinema,2552908884,ad_spots@hollywoodads.com,Charlton,Suttaby,,,,,,,,,,
10,Mad-gazines,Magazine,9701029795,badpuns@madgazines.com,Izaak,Jakel,,,,,,,,,,
11,Must See TV,Television,6569894158,adspace@mustseetv.com,Adela,Vearncombe,,,,,,,,,,
12,Shouters,Radio,8652513629,ad@Shouters.com,Lindsay,Abrahm,,,,,,,,,,
13,Sunday Ads,Newspaper,7982279641,SundayAds@SundayAds.com,Pierre,Witts,,,,,,,,,,
14,Spam Mail Specialists,Leaflet,8455482726,spam@spammailspecialists.com,Corabelle,MacVagh,,,,,,,,,,
15,Drive-by,poster,1738965054,not_dangerous@driveby.com,Denny,Normadell,,,,,,,,,,
16,Accept All Cookies,web,3419263344,yum@acceptallcookies.com,Felipa,Pretsell,,,,,,,,,,
17,Filmtastic,Cinema,5859079771,ad.space@Filmtastic.com,Corilla,Pollok,,,,,,,,,,
18,No One Reads Anymore,Magazine,8702189512,illiterate@noonereads.gov,Tom,Jandl,,,,,,,,,,
19,Boba Fett,Television,1123710534,starwars@bobafett.com,Beatrice,Gudgin,,,,,,,,,,
20,Avengers Ads,Radio,4287196857,adsense@avengers.com,Howey,Kubicki,,,,,,,,,,
21,Weekly Readers,Newspaper,3174391094,spots@weeklyreaders.com,Noell,Lehemann,,,,,,,,,,
22,Hello Ads,Leaflet,8372535142,holasenor@helloads.com,Jerrie,McNulty,,,,,,,,,,
23,BIG FAT ADS,poster,8643345945,BIG.FAT.SPACE@BIGFATADS.com,Rod,Greeson,,,,,,,,,,
24,Not A Virus Ad Agency,web,1699436117,definitelyavirus@NotAVirus.com,Dinny,Kubach,,,,,,,,,,
