staff_id,staff_first_name,staff_last_name,staff_role,staff_phone_number,staff_fax_number,staff_email,staff_salary,salary_grade,,,,,,
888470415,Mellisent,Weiner,Director of Sales,3169852297,4636256420,mweiner@headura.com,38448,1,,,,,,
170967125,Camel,Cavanagh,Purchasing Assistant,6434980144,4604592145,ccavanagh@headura.com,59850,2,,,,,,
897748594,Kareem,Grennan,Project Manager,1404503258,9933485200,kgrennan@headura.com,47591,2,,,,,,
843964091,Thane,Dunbabin,Campaign Manager,2611052992,3971269584,tdunbabin@headura.com,305177,6,,,,,,
114912007,Maje,Pulster,Graphic Designer,6321711958,2915319292,mpulster@headura.com,422998,7,,,,,,
733259803,Dev,Parrot,Storyboard Artist,8841415651,5225881113,dparrot@headura.com,76044,3,,,,,,
680179173,Marga,Lepoidevin,Human Resources,7778256409,4718763640,mlepoidevin@headura.com,25998,1,,,,,,
714198735,Letizia,Palister,Executive Secretary,7583771389,2348862685,lpalister@headura.com,250262,6,,,,,,
229794017,West,Pressman,Senior Developer,2131557266,5661722912,wpressman@headura.com,89249,4,,,,,,
680703999,Davina,Heimes,Senior Editor,9081919626,8325494451,dheimes@headura.com,81425,4,,,,,,
630972388,Earvin,Ehlerding,Human Resources,4272066025,6371314323,eehlerding@headura.com,68057,3,,,,,,
829122805,Selina,Sottell,Desktop Support Technician,2338254241,1225200390,ssottell@headura.com,791470,8,,,,,,
961833918,Earle,Sousa,Purchasing Assistant,9464959635,2306916993,esousa@headura.com,560199,7,,,,,,
971246499,Jeannie,Cunde,Video Editor,2194782960,5706696329,jcunde@headura.com,100607,5,,,,,,
745524652,Corney,Permain,Graphic Designer,1895920245,5832804866,cpermain@headura.com,64760,3,,,,,,
979581563,Leandra,Gosnall,Accountant IV,8136167868,7889181320,lgosnall@headura.com,27498,1,,,,,,
784793582,Jessamyn,Newcomen,Video Editor,5672291434,3615901411,jnewcomen@headura.com,82112,4,,,,,,
648502756,Consuelo,Crampsey,Campaign Manager,1976966032,4768072108,ccrampsey@headura.com,424586,7,,,,,,
354648797,Bale,Eagling,Assistant Media Planner,7506634521,3786496686,beagling@headura.com,767643,8,,,,,,
204521425,Bert,Tomashov,Marketing Manager,5572174995,8236826049,btomashov@headura.com,292390,6,,,,,,
495717911,Jsandye,Guinery,Purchasing Assistant,3604103649,7994232350,jguinery@headura.com,106147,5,,,,,,
112965721,Sam,Mityashin,Assistant Manager,5623671663,7166651901,smityashin@headura.com,99817,4,,,,,,
690710004,Madelin,Siggee,Project Lead,9401522150,1625103973,msiggee@headura.com,260106,6,,,,,,
915264251,Stacy,Cloney,Purchasing Assistant,1611418979,3426984155,scloney@headura.com,73112,3,,,,,,
900791414,Zollie,Giller,Accountant,6485482036,5998445139,zgiller@headura.com,59611,2,,,,,,
875106342,Yul,Kohrs,VP Marketing,3608223477,6702648114,ykohrs@headura.com,571940,7,,,,,,
225959634,Ealasaid,Greensitt,Technical Writer,8663168949,5684025616,egreensitt@headura.com,248948,6,,,,,,
444943888,Glenna,Masdon,Purchasing Assistant,5747972806,4352638475,gmasdon@headura.com,96373,4,,,,,,
679025877,Leticia,Warren,VP Sales,3871261646,8806741700,lwarren@headura.com,396035,6,,,,,,
972251145,Carlota,Tassell,Quality Control Specialist,3528851107,7694410035,ctassell@headura.com,873571,8,,,,,,
961076615,Addia,Wooder,Campaign Manager,4967025155,1604262440,awooder@headura.com,905238,9,,,,,,
758990891,Ralina,Matanin,Campaign Manager,7616134690,8569468035,rmatanin@headura.com,950297,9,,,,,,
689442626,Benjamin,Veneur,Graphic Designer,3411459766,8074526921,bveneur@headura.com,448705,7,,,,,,
850531439,Temple,Lazar,Voice Over Artist,2167358495,3587659589,tlazar@headura.com,150310,5,,,,,,
803440006,Star,Dillingham,Account Representative I,2325531350,1856879796,stillingham@headura.com,450793,7,,,,,,
617544879,Meg,Overill,Project Manager,5106463678,2569787169,moverill@headura.com,972918,9,,,,,,
741516612,Rosana,Starzaker,Marketing Manager,7605202329,1127598461,rstarzaker@headura.com,336785,6,,,,,,
550966842,Jerrie,Witten,Purchasing Assistant,4104319058,9281916383,jwitten@headura.com,58606,2,,,,,,
325391159,Nolana,Huggill,Office Assistant,8301995549,1447738642,nhuggill@headura.com,24506,1,,,,,,
845676970,Hughie,Valencia,Graphic Designer,2042450917,9346135090,hvalencia@headura.com,56987,2,,,,,,
481854882,Lorraine,Gosdin,Video Editor,1754575745,6577699524,lgosdin@headura.com,172305,5,,,,,,
